Figure 1: Total Fertility Rate decreased in 2024 despite an increase in live births.,,,,,,
"Total Fertility Rate and live birth counts, England and Wales, 1938 to 2024",,,,,,
Source: Births in England and Wales from the Office for National Statistics,,,,,,
,,,,,,
Notes,1. The total fertility rate is the average number of live children that a group of women would bear if they experienced the age-specific fertility rates of the calendar year throughout their childbearing lifespan.,,,,,
,"2. This graph contains revised TFRs for 2022 and 2023 following the revision of the mid-year population estimates for 2022 and 2023, therefore these rates may not align to the rates published in previous years.",,,,,
Unit,Number of live births/ Total fertility rate,,,,,
,,,,,,
Year,Number of Live Births,Total Fertility Rate,,,,
1938,621204,1.84,,,,
1939,614479,1.82,,,,
1940,590120,1.75,,,,
1941,579091,1.73,,,,
1942,651503,1.94,,,,
1943,684334,2.02,,,,
1944,751478,2.24,,,,
1945,679937,2.04,,,,
1946,820719,2.47,,,,
1947,881026,2.68,,,,
1948,775306,2.38,,,,
1949,730518,2.27,,,,
1950,697097,2.18,,,,
1951,677529,2.14,,,,
1952,673735,2.16,,,,
1953,684372,2.22,,,,
1954,673651,2.21,,,,
1955,667811,2.22,,,,
1956,700335,2.35,,,,
1957,723381,2.45,,,,
1958,740715,2.52,,,,
1959,748501,2.56,,,,
1960,785005,2.68,,,,
1961,811281,2.77,,,,
1962,838736,2.85,,,,
1963,854055,2.88,,,,
1964,875972,2.93,,,,
1965,862725,2.85,,,,
1966,849823,2.75,,,,
1967,832164,2.65,,,,
1968,819272,2.57,,,,
1969,797538,2.47,,,,
1970,784486,2.4,,,,
1971,783155,2.37,,,,
1972,725440,2.17,,,,
1973,675953,2,,,,
1974,639885,1.89,,,,
1975,603445,1.78,,,,
1976,584270,1.71,,,,
1977,569259,1.66,,,,
1978,596418,1.73,,,,
1979,638028,1.84,,,,
1980,656234,1.88,,,,
1981,634492,1.8,,,,
1982,625931,1.76,,,,
1983,629134,1.76,,,,
1984,636818,1.75,,,,
1985,656417,1.78,,,,
1986,661018,1.77,,,,
1987,681511,1.81,,,,
1988,693577,1.82,,,,
1989,687725,1.8,,,,
1990,706140,1.84,,,,
1991,699217,1.82,,,,
1992,689656,1.8,,,,
1993,673467,1.76,,,,
1994,664726,1.75,,,,
1995,648138,1.72,,,,
1996,649485,1.74,,,,
1997,643095,1.73,,,,
1998,635901,1.73,,,,
1999,621872,1.7,,,,
2000,604441,1.65,,,,
2001,594634,1.63,,,,
2002,596122,1.64,,,,
2003,621469,1.72,,,,
2004,639721,1.77,,,,
2005,645835,1.77,,,,
2006,669601,1.83,,,,
2007,690013,1.88,,,,
2008,708711,1.92,,,,
2009,706248,1.9,,,,
2010,723165,1.94,,,,
2011,723913,1.93,,,,
2012,729674,1.93,,,,
2013,698512,1.83,,,,
2014,695233,1.8,,,,
2015,697852,1.79,,,,
2016,696271,1.77,,,,
2017,679106,1.71,,,,
2018,657076,1.65,,,,
2019,640370,1.59,,,,
2020,613936,1.53,,,,
2021,624828,1.55,,,,
2022,605479,1.49,,,,
2023,591072,1.42,,,,
2024,594677,1.41,,,,
