Year,Annual mean temperature (°C)
1884,8.48
1885,7.36
1886,7.45
1887,7.51
1888,7.28
1889,8.01
1890,7.96
1891,7.60
1892,7.01
1893,8.78
1894,8.19
1895,7.55
1896,8.26
1897,8.23
1898,8.88
1899,8.57
1900,8.28
1901,8.08
1902,7.73
1903,8.02
1904,7.99
1905,8.19
1906,8.29
1907,7.83
1908,8.31
1909,7.52
1910,8.09
1911,8.81
1912,8.17
1913,8.59
1914,8.70
1915,7.81
1916,8.11
1917,7.52
1918,8.33
1919,7.42
1920,8.45
1921,9.24
1922,7.63
1923,7.96
1924,8.19
1925,8.12
1926,8.58
1927,8.06
1928,8.35
1929,7.98
1930,8.29
1931,7.98
1932,8.35
1933,8.82
1934,8.87
1935,8.52
1936,8.26
1937,8.33
1938,8.92
1939,8.57
1940,8.01
1941,7.96
1942,8.03
1943,8.88
1944,8.44
1945,9.13
1946,8.35
1947,8.37
1948,8.81
1949,9.34
1950,8.30
1951,8.11
1952,7.99
1953,8.91
1954,8.13
1955,8.23
1956,7.90
1957,8.84
1958,8.25
1959,9.24
1960,8.54
1961,8.67
1962,7.56
1963,7.41
1964,8.31
1965,7.76
1966,8.19
1967,8.47
1968,8.16
1969,8.12
1970,8.31
1971,8.73
1972,8.10
1973,8.43
1974,8.38
1975,8.77
1976,8.74
1977,8.27
1978,8.23
1979,7.60
1980,8.26
1981,8.10
1982,8.65
1983,8.83
1984,8.58
1985,7.79
1986,7.68
1987,8.00
1988,8.73
1989,9.23
1990,9.38
1991,8.54
1992,8.69
1993,8.33
1994,8.88
1995,9.18
1996,8.19
1997,9.41
1998,9.16
1999,9.37
2000,9.10
2001,8.80
2002,9.44
2003,9.47
2004,9.44
2005,9.41
2006,9.70
2007,9.56
2008,9.02
2009,9.14
2010,7.94
2011,9.61
2012,8.74
2013,8.74
2014,9.88
2015,9.18
2016,9.29
2017,9.53
2018,9.45
2019,9.39
2020,9.62
2021,9.28
2022,10.03
2023,9.97
2024,9.79
2025,10.09
